draft,type,num,date,day,topics,slides,readings,assignments,
* [HTTP Messages](https://developer.mozilla.org/en-US/docs/Web/HTTP/Messages) (HTTP/2 is not covered in the course, so those parts are optional)
* Reference for HTTP [methods](https://developer.mozilla.org/en-US/docs/Web/HTTP/Methods) and [status codes](https://developer.mozilla.org/en-US/docs/Web/HTTP/Status)

Cookies

* [MDN on Cookies](https://developer.mozilla.org/en-US/docs/Web/HTTP/Cookies)
* nczonline articles on [Cookies](https://www.nczonline.net/blog/2009/05/05/http-cookies-explained/) and [Cookies and Security](https://www.nczonline.net/blog/2009/05/12/cookies-and-security/)
","(Homework #3 to be assigned Monday)
",

,,7,12-Feb,Mon,"* HTTP Module
* Web Framework
* Project Layout","* Homework #3 Due Date
* Review class 6 notes
* [Node's HTTP Module](slides/07/node-http.html)
* [Project Setup](slides/08/setup.html)
* [Express](slides/08/express.html) 
* (see request and response slides from next class?)
* Homework #3 Demo Again
* Methods as Callbacks, Arrow Functions Again


",,"__(Extended) Due Wednesday 2/21 at 11pm:__

NO GRACE PERIOD on extended deadline (was 2/19).

* [Homework #3](homework/03.html) ",

,,8,14-Feb,Wed,"* Web Framework Continued
* Middleware
* Templating","* [Express (from previous slides)](slides/08/express.html#/26)
* [Templating](slides/09/templating.html)
* [Express Request and Response](slides/09/request-response.html) (start [With Web Server/Web App](slides/09/request-response.html#/7))
","* [Express Hello World](https://expressjs.com/en/starter/hello-world.html)
* [Express Basic Routing](https://expressjs.com/en/starter/basic-routing.html)
* [Express Routing](https://expressjs.com/en/guide/routing.html) (up to, but not including route paths)
* [Express Static Files](https://expressjs.com/en/starter/static-files.html)
* [Handlebars Basics](http://handlebarsjs.com/expressions.html) (Basic Usage Section Only)
* [Handlebars Loops/Conditionals](http://handlebarsjs.com/block_helpers.html) (Up to Hash Arguments, Ignore blocks with `registerHelper`)
",,

,holiday,,19-Feb,Mon,Presidents' Day No classes Scheduled,,,,hw3

,,9,21-Feb,Wed,"Slides

* Cookies
* Sessions
* Forms","Slides

* [More About Get](slides/10/review-get.html)
* [Middleware](slides/09/middleware.html)
* Review [Response and Request Objects / Along with Templating](slides/09/request-response.html)
* [Forms](slides/10/forms.html)

Code Samples

* [get, post, form, middleware](examples/class09/get-post-form-middleware.zip)


","* [Middleware](https://expressjs.com/en/guide/writing-middleware.html)

","__(Extended) Due Wednesday 2/28 at 11pm:__

NO GRACE PERIOD on extended deadline (was 2/26).

* [Homework #4](homework/04.html) 
",

,,10,26-Feb,Mon,"* Cookies
* Sessions 
* NoSQL Database
","Slides

* Review Middleware
* [Sessions and Cookies](slides/10/sessions.html)
* Homework Extended / Next Topics 
    * maybe quiz
    * maybe interactive coding session during review?
* Upcoming Exam
* Maybe [Mongo DB  and Mongoose](slides/14/mongo.html)

Code Samples

* [creating middleware, sessions](examples/class10/middleware-sessions.zip)","* [MDN on Cookies](https://developer.mozilla.org/en-US/docs/Web/HTTP/Cookies)
* nczonline articles on [Cookies](https://www.nczonline.net/blog/2009/05/05/http-cookies-explained/) and [Cookies and Security](https://www.nczonline.net/blog/2009/05/12/cookies-and-security/)",,hw4

,,11,28-Feb,Wed,"* Object Document Mapper
* Database Design
* Authentication","* Mongoose (from Previous Slides)
* [More Mongoose](slides/12/mongoose.html)
* Homework #05
* About Copying Homework
* Reviews:
    * Friday, 2/2 from 11am-12pm
    * Sunday, 2/4 from 11am-12pm

__Midterm Practice__

* [midterm practice questions](resources/handouts/midterm/midterm_1_practice.pdf)
* [midterm practice questions with solutions](resources/handouts/midterm/midterm_1_practice_solutions.pdf)



<!--
* Example Data (from CSCI-UA.60)
 * [book fields](resources/data/books_fields.txt)
 * [books](resources/data/books.csv)
 * [wifi](resources/data/wifi3.json) (NYC Open Data)
-->
",,"__Due Thursday 3/22 at 11pm:__

* [Homework #5](homework/05.html) 
",

,,12,5-Mar,Mon,"* About the Exam, Review",,,,hw5

y,exam,13,7-Mar,Wed,EXAM #1 (Midterm Exam),,,,

,holiday,,12-Mar,Mon,Spring Recess,,,,

,holiday,,14-Mar,Wed,Spring Recess,,,,

y,,14,19-Mar,Mon,"* URL Parameters
* Finishing Database
* Validation",,,,

y,,15,21-Mar,Wed,"* Authentication
    * __new__ User Authentication
    * __new__ OAuth
    * __new__ JWT
* Authentication Library
* Deployment",,,"__Due Wednesday 3/28 at 11pm:__

* [Homework #6](homework/06.html) 
* (authentication / url params - user based site)",

y,,16,26-Mar,Mon,"* HTML Primer, JavaScript and the Browser
* The Document Object Model
* Manipulating Elements",,,,

y,,17,28-Mar,Wed,"* CSS
* Flexbox
* Grids
",,,"__Due Wednesday 4/4 at 11pm:__

* [Homework #7](homework/07.html) 
* (authentication / url params - user based site)",

y,,18,2-Apr,Mon,"* CSS Continued
* Events / Timers Continued
* AJAX
* APIs",,,,

y,,19,4-Apr,Wed,"* AJAX Continued
* Promises
* Fetch API",,,"__Due Wednesday 4/11 at 11pm:__

* [Homework #8](homework/08.html) 
* (authentication / url params - user based site)",

y,,20,9-Apr,Mon,"* AJAX Review
* Promises Review
* async / await",,,,

y,,21,11-Apr,Wed,* SocketIO,,,"Socket I/O Lab Today
__Due Wednesday 4/18 at 11pm:__ 

* Final Project",

y,,22,16-Apr,Mon,* SocketIO Continued,,,,

y,,23,18-Apr,Wed,* Frontend Framework  ,,,"__Due Wednesday 4/25 at 11pm:__

* [Homework #9](homework/09.html) 
* (Frontend Framework)",

y,,24,23-Apr,Mon,* Frontend Framework Continued,,,,

y,,25,25-Apr,Wed,* TBD (everything together?),,,,

y,,26,30-Apr,Mon,"* TBD (wasm, webgl, electron or webaudio?)",,,,

y,,27,2-May,Wed,* Review,,,,

,exam,28,7-May,Mon,EXAM #2 (Final Exam),,,,
